algorithm,n,feasible_n,feasible_rate,F_median,F_q1,F_q3,C_median_1e8,C_q1_1e8,C_q3_1e8,E_median_1e8,E_q1_1e8,E_q3_1e8,Tier1_median_km,runtime_median_s
V1_JS,1,1,1.0,0.839621740097831,0.839621740097831,0.839621740097831,26.408798003988853,26.408798003988853,26.408798003988853,13.94247998110045,13.94247998110045,13.94247998110045,2.010162339266803,0.12120037502609193
V2_JS+Tent,1,1,1.0,0.839621740097831,0.839621740097831,0.839621740097831,26.408798003988853,26.408798003988853,26.408798003988853,13.94247998110045,13.94247998110045,13.94247998110045,2.010162339266803,0.12154374993406236
V3_JS+Levy,1,1,1.0,0.8375541200179322,0.8375541200179322,0.8375541200179322,26.333543589355703,26.333543589355703,26.333543589355703,13.910426321480246,13.910426321480246,13.910426321480246,2.010104155920136,0.10673587501514703
V4_JS+DE,1,1,1.0,0.839621740097831,0.839621740097831,0.839621740097831,26.408798003988853,26.408798003988853,26.408798003988853,13.94247998110045,13.94247998110045,13.94247998110045,2.010162339266803,0.10868374991696328
V6_JS+Tent+Levy,1,1,1.0,0.839621740097831,0.839621740097831,0.839621740097831,26.408798003988853,26.408798003988853,26.408798003988853,13.94247998110045,13.94247998110045,13.94247998110045,2.010162339266803,0.10662833298556507
V7_JS+Tent+DE,1,1,1.0,0.8396217400978307,0.8396217400978307,0.8396217400978307,26.408798003988853,26.408798003988853,26.408798003988853,13.942479981100444,13.942479981100444,13.942479981100444,2.010162339266803,0.10692241706419736
V8_JS+Levy+DE,1,1,1.0,0.8375541200179322,0.8375541200179322,0.8375541200179322,26.333543589355703,26.333543589355703,26.333543589355703,13.910426321480246,13.910426321480246,13.910426321480246,2.010104155920136,0.1072402079589665
V5_IJS,1,1,1.0,0.839621740097831,0.839621740097831,0.839621740097831,26.408798003988853,26.408798003988853,26.408798003988853,13.94247998110045,13.94247998110045,13.94247998110045,2.010162339266803,0.10707441600970924
GA,1,1,1.0,0.839621740097831,0.839621740097831,0.839621740097831,26.408798003988853,26.408798003988853,26.408798003988853,13.94247998110045,13.94247998110045,13.94247998110045,2.010162339266803,0.105393375037238
PSO,1,1,1.0,0.839621740097831,0.839621740097831,0.839621740097831,26.408798003988853,26.408798003988853,26.408798003988853,13.94247998110045,13.94247998110045,13.94247998110045,2.010162339266803,0.10718575003556907
GWO,1,1,1.0,0.839621740097831,0.839621740097831,0.839621740097831,26.408798003988853,26.408798003988853,26.408798003988853,13.94247998110045,13.94247998110045,13.94247998110045,2.010162339266803,0.10674291604664177
NSGA-II,1,1,1.0,0.838640277198878,0.838640277198878,0.838640277198878,26.330759313915845,26.330759313915845,26.330759313915845,13.942437886294076,13.942437886294076,13.942437886294076,2.010184057754994,0.10813329101074487
