scenario,parameters,M_A_C,M_A_E,n,C_improve_median_pct,C_improve_ci_low,C_improve_ci_high,E_improve_median_pct,E_improve_ci_low,E_improve_ci_high,feasible_rate
base,{},2640879800.3988523,1394247998.110042,20,7.374286705321516,7.195157213179787,7.530446134729756,0.559751165593803,0.5313739236221666,0.5956598534576081,1.0
EV10,"{""ev"": 0.1}",2640879800.3988523,1522329140.6961265,20,7.374286705321516,7.195157213179787,7.530446134729756,0.5757435601983072,0.5465700579433785,0.6097147102682412,1.0
EV50,"{""ev"": 0.5}",2640879800.3988523,1266166855.5239587,20,7.374286705321516,7.195157213179787,7.530446134729756,0.5405232982479095,0.5141309663809136,0.5787615134025659,1.0
traffic_growth2,"{""traffic_growth"": 0.02}",2640333604.0191536,1791311268.952767,20,7.375750434420958,7.1965777328574685,7.53194630940432,0.5597511655938288,0.5313739236221555,0.595659853457589,1.0
traffic_growth4,"{""traffic_growth"": 0.04}",2641859269.3502307,2353908050.198559,20,7.37166338280352,7.192611331391181,7.5277574937741285,0.5597511655938316,0.5313739236221664,0.5956598534575994,1.0
fuel_price_growth2,"{""fuel_price_growth"": 0.02}",2640879800.3988523,1710491882.428659,20,7.374286705321516,7.195157213179787,7.530446134729756,0.5640072479772852,0.5351906467788645,0.599400295708626,1.0
elec_price_growth2,"{""elec_price_growth"": 0.02}",2640879800.3988523,1475067384.6341503,20,7.374286705321516,7.195157213179787,7.530446134729756,0.554815801661519,0.5269480417641411,0.5913224271313737,1.0
both_price_growth2,"{""elec_price_growth"": 0.02, ""fuel_price_growth"": 0.02}",2640879800.3988523,1791311268.9527671,20,7.374286705321516,7.195157213179787,7.530446134729756,0.5597511655938421,0.5313739236221688,0.5956598534576022,1.0
fuel_save10,"{""fuel_save"": 0.1}",2640879800.3988523,1283202118.2708006,20,7.374286705321516,7.195157213179787,7.530446134729756,0.5577590419534286,0.5295874487035823,0.5939090829690297,1.0
elec_save10,"{""elec_save"": 0.1}",2640879800.3988523,1365869078.1382797,20,7.374286705321516,7.195157213179787,7.530446134729756,0.5616227192559975,0.5330522751102146,0.5973046614670432,1.0
