evidence_scope,experiment,item,metric,value,unit,source,source_sha256
current-confirmatory-single-run,current W500 density anchored,M-A,C,2640614457.4676332,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,C,2420775527.7354116,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,E,1394604582.759719,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,E,1352775939.92705,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,E_fuel,1110723154.4208326,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,E_fuel,1079110829.8342245,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,E_ele,283881428.3388862,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,E_ele,273665110.0928258,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,L_km,22.461813999966367,km,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,L_km,22.474115096736103,km,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,Rmin,422.42787846545656,m,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,Rmin,420.9121783931568,m,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,Q_mean,3.3093457943925237,index,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,Q_mean,3.2978638184245663,index,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,CR,50494315.88999579,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,CR,50521968.84207194,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,CB,1815355118.976739,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,CB,1578590816.06862,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,CS,678346782.7989843,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,CS,678718275.9214302,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,CQ,29244919.175629057,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,CQ,30607704.27748855,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,C_TU,67173320.62628505,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,C_TU,82336762.62580079,RMB,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,L_dense1_km,2.0101623392668,km,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,L_dense1_km,1.590999243268497,km,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,L_dense2_km,0.0,km,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,L_dense2_km,0.0,km,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-A,penalty,0.0,dimensionless,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
current-confirmatory-single-run,current W500 density anchored,M-C,penalty,0.0,dimensionless,优化方案对比（平面、纵断面联合协同优化）/results/joint_results_w500_dens.json,e7c652922252f97f906c55cef550b9181a360d5bd6fbdf073db42ed97c22291d
