source_commit,scheme,metric,value,unit,source_file
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,C,2640614457.4676332,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,C,2422393114.135553,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,E,1394604582.759719,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,E,1347660512.3154407,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,L_km,22.461813999966367,km,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,L_km,22.363538153941814,km,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,Rmin,422.42787846545656,m,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,Rmin,401.02567056600003,m,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,penalty,0.0,dimensionless,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,CR,50494315.88999579,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,CR,50273391.09676548,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,CB,1815355118.976739,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,CB,1553946522.2206583,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,CS,678346782.7989843,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,CS,675378852.2490427,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,CQ,29244919.175629057,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,CQ,30125146.51570172,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,C_TU,67173320.62628505,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,C_TU,112669202.05338493,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,E_fuel,1110723154.4208326,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,E_fuel,1075118396.0989451,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,E_ele,283881428.3388862,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,E_ele,272542116.21649563,RMB,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-A,Q_mean,3.3093457943925237,index,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,M-C,Q_mean,3.4204272363150867,index,joint_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,two-stage,C,2315815475.430493,RMB,twostage_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,two-stage,E,1345687955.886929,RMB,twostage_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,two-stage,Rmin,397.05792459454506,m,twostage_results.json
c1327df1ea2dc64cdde826bcb1df7141d80a0533,two-stage,penalty,0.07359275057726418,dimensionless,twostage_results.json

