EV penetration,Re-opt C (10^8),Re-opt E (10^8),Re-opt L (km),Rmin (m),wC (entropy),Penalty
0%,23.8943,15.5783,22.417,400,0.650,0.00e+00
5%,23.8634,15.2993,22.382,400,0.650,0.00e+00
10%,24.7419,15.0084,22.494,420,0.650,0.00e+00
15%,23.8557,14.6775,22.393,401,0.650,0.00e+00
20%,23.9967,14.3065,22.388,401,0.650,0.00e+00
25%,24.3131,14.0283,22.473,420,0.650,0.00e+00
30%,24.9265,13.6997,22.450,422,0.650,0.00e+00
35%,24.9212,13.4018,22.484,422,0.650,0.00e+00
40%,24.3411,12.9963,22.397,402,0.650,0.00e+00
45%,24.0134,12.7165,22.394,400,0.650,0.00e+00
50%,24.6542,12.4352,22.466,422,0.650,0.00e+00
55%,25.2336,12.0087,22.487,421,0.650,0.00e+00
60%,24.4855,11.7945,22.427,401,0.650,0.00e+00
65%,24.8016,11.5434,22.459,423,0.650,0.00e+00
70%,24.7681,11.1643,22.400,402,0.650,0.00e+00
75%,24.7719,10.7664,22.458,422,0.650,0.00e+00
80%,23.7600,10.4741,22.401,401,0.650,0.00e+00
85%,24.7493,10.2468,22.428,404,0.650,0.00e+00
90%,23.8940,9.8546,22.389,402,0.650,0.00e+00
95%,24.7225,9.5049,22.397,408,0.650,0.00e+00
100%,24.1437,9.2164,22.409,401,0.650,0.00e+00
