EV penetration,Re-opt C (10^8),Re-opt E (10^8),Re-opt L (km),Rmin (m),wC (entropy),Penalty
0%,20.6083,15.3172,22.184,403,0.650,0.00e+00
5%,20.6199,14.9858,22.170,401,0.650,0.00e+00
10%,20.4528,14.7689,22.264,402,0.650,0.00e+00
15%,20.6140,14.3687,22.178,402,0.650,0.00e+00
20%,20.6331,14.0556,22.159,402,0.650,0.00e+00
25%,20.4437,13.8213,22.281,400,0.650,0.00e+00
30%,20.6294,13.4357,22.201,401,0.650,0.00e+00
35%,20.6518,13.1084,22.210,400,0.650,0.00e+00
40%,20.4254,12.8586,22.255,403,0.650,0.00e+00
45%,20.4205,12.5410,22.273,400,0.650,0.00e+00
50%,20.6231,12.1724,22.198,402,0.650,0.00e+00
55%,20.6119,11.8754,22.198,400,0.650,0.00e+00
60%,20.4704,11.6040,22.277,400,0.650,0.00e+00
65%,20.6520,11.2516,22.221,400,0.650,0.00e+00
70%,20.6485,10.9421,22.209,402,0.650,0.00e+00
75%,20.4565,10.6380,22.249,403,0.650,0.00e+00
80%,20.6763,10.2647,22.164,405,0.650,0.00e+00
85%,20.7285,9.9449,22.200,400,0.650,0.00e+00
90%,20.6562,9.6822,22.235,401,0.650,0.00e+00
95%,20.4565,9.3794,22.272,402,0.650,0.00e+00
100%,20.6646,9.0308,22.191,403,0.650,0.00e+00
